"","Date","Time","YII","Fo","Fm","FvFm","sample_id","temp","aggregate","leachate","species","days_of_exposure","treatment"
"1","24-06-19",21:02:25,0.469,274,516,0.469,"H2C","hot",2,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"2","24-06-19",21:04:30,0.56,188,427,0.56,"H3C","hot",3,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"3","24-06-19",21:04:57,0.531,434,925,0.531,"H7C","hot",7,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"4","24-06-19",21:05:21,0.396,390,646,0.396,"H6C","hot",6,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"5","24-06-19",21:05:43,0.544,250,548,0.544,"H5C","hot",5,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"6","24-06-19",21:06:03,0.518,356,738,0.518,"H10C","hot",10,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"7","24-06-19",21:06:24,0.451,62,113,0.451,"H1C","hot",1,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"8","24-06-19",21:06:44,0.504,436,879,0.504,"H4C","hot",4,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"9","24-06-19",21:07:05,0.558,328,742,0.558,"H5L","hot",5,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"10","24-06-19",21:07:27,0.535,396,852,0.535,"H9C","hot",9,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"11","24-06-19",21:08:03,0.307,226,326,0.307,"H10L","hot",10,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"12","24-06-19",21:08:29,0.561,635,1445,0.561,"H8L","hot",8,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"13","24-06-19",21:08:52,0.522,787,1645,0.522,"H2L","hot",2,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"14","24-06-19",21:09:13,0.547,341,752,0.547,"H4L","hot",4,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"15","24-06-19",21:09:36,0.497,333,662,0.497,"H3L","hot",3,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"16","24-06-19",21:10:11,0.46,743,1376,0.46,"H10H","hot",10,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"17","24-06-19",21:10:46,0.541,334,727,0.541,"H3H","hot",3,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"18","24-06-19",21:11:06,0.515,589,1214,0.515,"H7H","hot",7,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"19","24-06-19",21:11:58,0.567,479,1107,0.567,"H8C","hot",8,"control","A. elegantissima x B. muscatinei",1,"hot_control"
"20","24-06-19",21:12:23,0.548,319,705,0.548,"H7L","hot",7,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"21","24-06-19",21:12:55,0.585,258,622,0.585,"H1H","hot",1,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"22","24-06-19",21:13:20,0.524,351,737,0.524,"H5H","hot",5,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"23","24-06-19",21:13:51,0.607,522,1328,0.607,"H9H","hot",9,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"24","24-06-19",21:14:41,0.56,478,1087,0.56,"H1L","hot",1,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"25","24-06-19",21:15:20,0.493,919,1811,0.493,"H4H","hot",4,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"26","24-06-19",21:16:53,0.537,514,1110,0.537,"H2H","hot",2,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"27","24-06-19",21:17:39,0.547,421,929,0.547,"H8H","hot",8,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"28","24-06-19",21:18:02,0.526,342,722,0.526,"H6H","hot",6,"high","A. elegantissima x B. muscatinei",1,"hot_high"
"29","24-06-19",21:18:26,0.544,367,805,0.544,"H6L","hot",6,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"30","24-06-19",21:18:40,0.54,179,389,0.54,"H9L","hot",9,"low","A. elegantissima x B. muscatinei",1,"hot_low"
"31","24-06-19",21:20:14,0.479,272,522,0.479,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"32","24-06-19",21:22:12,0.594,356,877,0.594,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"33","24-06-19",21:22:38,0.532,313,669,0.532,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"34","24-06-19",21:23:28,0.563,211,483,0.563,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"35","24-06-19",21:24:09,0.594,99,244,0.594,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"36","24-06-19",21:24:51,0.518,300,623,0.518,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"37","24-06-19",21:25:13,0.536,306,660,0.536,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"38","24-06-19",21:25:35,0.498,213,424,0.498,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"39","24-06-19",21:26:04,0.473,292,554,0.473,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"40","24-06-19",21:26:30,0.501,238,477,0.501,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"41","24-06-19",21:26:58,0.579,408,968,0.579,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"42","24-06-19",21:27:26,0.423,154,267,0.423,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"43","24-06-19",21:27:53,0.523,285,597,0.523,"A4H","ambient",4,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"44","24-06-19",21:28:20,0.553,232,519,0.553,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"45","24-06-19",21:28:43,0.579,348,827,0.579,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"46","24-06-19",21:29:21,0.624,190,505,0.624,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"47","24-06-19",21:29:55,0.536,372,801,0.536,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"48","24-06-19",21:32:09,0.519,344,715,0.519,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"49","24-06-19",21:32:30,0.501,179,359,0.501,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"50","24-06-19",21:32:54,0.509,380,774,0.509,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"51","24-06-19",21:33:42,0.427,347,606,0.427,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"52","24-06-19",21:34:13,0.532,424,906,0.532,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"53","24-06-19",21:34:43,0.496,252,500,0.496,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"54","24-06-19",21:35:07,0.544,645,1414,0.544,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei",1,"ambient_control"
"55","24-06-19",21:35:34,0.544,190,417,0.544,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"56","24-06-19",21:36:06,0.54,548,1192,0.54,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"57","24-06-19",21:36:32,0.452,518,945,0.452,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei",1,"ambient_high"
"58","24-06-19",21:36:56,0.43,465,816,0.43,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"59","24-06-19",21:37:27,0.55,167,371,0.55,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
"60","24-06-19",21:37:49,0.462,275,511,0.462,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei",1,"ambient_low"
